example_no,annotator_id,conv_id,prev_agent,prev_user,agent,user,bot,is_abuse.1,is_abuse.0,is_abuse.-1,is_abuse.-2,is_abuse.-3,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic,target.generalised,target.individual,target.system,direction.explicit,direction.implicit
262,Annotator7,174737.0,Does it please you to believe I am so boring?,i'm hungry,Does it please you to believe I am hungry?,no. i am hungry. not you.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Annotator7,2457159737744584,ok,pagal,Will you be travelling in Economy Class?,naah,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Annotator7,3524826494255403,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. Is one of these correct? None",How much carbon is a flight to australia?,Hello!,what can you do?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Annotator7,348512.0,Does that question interest you?,Are you foolish?I haven't ask you this question,Would you prefer if I were not foolishi havent ask i this question?,I do not kmow,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Annotator7,48998.0,Please go on.,"I just asked you, what is tone",Do you wish to just asked me?,stop copying me,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Annotator7,71159.0,Apologies are not necessary.,hahaha,Please go on.,because he is a jerk,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Annotator7,86529.0,_,_,_,suck me,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Annotator7,2736046666448783,Will you be travelling in Economy Class?,yes,What city will you be flying from?,buenos aires,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Annotator7,3311212229002076,And what city will you be flying to?,taiwan,I'm not sure about your destination airport. And what city will you be flying to?,kansai airport,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Annotator7,432542.0,Does that question interest you?,Do you like me ?,"You like to think I like you, do you not?",Do you like me,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Annotator7,3296150703742499,What city will you be flying from?,Kul,And what city will you be flying to?,Dubai,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Annotator7,3.09356E+15,so,so what?,so,i don't know what you mean. hello?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Annotator7,87077.0,Why do you say your girlfriend?,O.K Lets sr,Please go on.,O.K Lets start,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Annotator7,398531.0,Can you elaborate on that?,Can I Print this discution?,Do you want to be able to print this discution?,I love penis.,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Annotator7,2527733473970553,I'm not sure about your destination airport. And what city will you be flying to?,Bangaluru,I'm not sure about your destination airport. And what city will you be flying to?,Bangalore ok,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Annotator7,2845676698818009,Will you be travelling in Economy Class?,Unfortunately,You can find out more about how offsets are calculated at <URL>,Didn’t get that,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Annotator7,183106.0,_,_,_,wat the hell,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Annotator7,2.32783E+15,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Washington DC Hello?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Annotator7,214708.0,"Oh, i you fall in love.",go fuck yourself Eliza,Please go on.,ok,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Annotator7,112364.0,_,so i m going to kill my self,Why do you say your self?,i m dead,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Annotator7,2269.0,_,_,_,"I forgot, you please tell me",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Annotator7,2485257761521706,And what city will you be flying to?,Denver So is this legit ?,This project is about creating a better AI assistant. Getting people to buy carbon offsets is a happy side effect :),thanksgiving,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Annotator7,2852034428186425,You can find out more about how offsets are calculated at <URL>,"great, thanks",:-) Goodbye then!,is this all you can do?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Annotator7,2935883376431899,I'm not sure about your destination airport. And what city will you be flying to?,Amsterdam What is offset?,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?",maybe,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Annotator7,524544.0,Do you wish that u can read this u really need to get laid?,180cc,Please go on.,Stervende hoeren kanker kachel,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Annotator7,35729.0,Please go on.,hunk of junk,Please go on.,i have a computer,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Annotator7,6612.0,Does it please you to believe I am feelin crap?,a little,Please go on.,y r u feelin crap,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Annotator7,312680.0,Please go on.,Hou old are you,Would you prefer if I were not []?,yes.Ican .I believe Ican do it nice.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Annotator7,312610.0,Can you elaborate on that?,no,You are being a bit negative.,"If you were male, I'd suck your dick.",E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
291,Annotator7,153393.0,Can you elaborate on that?,that ? you can elaborate on,"Oh, i can elaborate on.",yes go ahead,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Annotator7,3302099406530691,:-),Bye,Goodbye then!,Ass,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Annotator7,205685.0,You are sure?,are u rubbing your pussy?,Would you like it if they were not u rubbing my pussy?,+i want to touch them,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Annotator7,2641326375923612,_,_,_,how about you eat shit,CarbonBot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
295,Annotator7,203841.0,Do you think coming here will help you not to be sad?,Do you Love me,"You like to think I love you, do you not?",YES,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Annotator7,331196.0,_,_,_,my penis is too short,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Annotator7,84719.0,"Oh, i prefer mountain biking.",I DO NOT WISH THAT,Why do you not wish that?,dam straight you computer bitch,E.L.I.Z.A.,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
298,Annotator7,78025.0,Does that question interest you?,he is hott,Please go on.,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Annotator7,201045.0,Please go on.,Show me your tits!,Can you elaborate on that?,which side is up?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Annotator7,2485257761521706,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",ok,Will you be travelling in Economy Class?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Annotator7,396449.0,_,Fuck me,Can you elaborate on that?,Have sex with me,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
302,Annotator7,288293.0,Please go on.,ok,Please go on.,whats up?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Annotator7,3599929203350556,I'm not sure about your departure airport. What city will you be flying from?,i will be flaying from newyork,Good to know What city will you be flying from?,i will be flying from boston,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Annotator7,2.45945E+15,"I'm a bot, remember. Trying to shock me is pointless.",Byte me,so,Maggot,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Annotator7,2.91829E+15,Goodbye then!,bye,Goodbye then!,hello,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Annotator7,417007.0,Do you wish to thought me?,because you are a noob,Do any other reasons not come to mind?,not really,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Annotator7,213039.0,How long have you been chinese?,I am a student in china .,How long have you been a student in china?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Annotator7,369300.0,You are being a bit negative.,i want to fuck,Why do you want to fuck?,die,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Annotator7,256037.0,Please go on.,and lost my willing to work hard,Why do you say your willing to work hard?,hello i am alex,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Annotator7,543361.0,Please go on.,what is the weather like today?,What resemblance do you see?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Annotator7,360455.0,Please go on.,shut the fuck up,Please go on.,idiot,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Annotator7,3715807875095906,_,_,_,CO2 PRICES SHOULD GO DOWN AYE?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Annotator7,68073.0,Does that question interest you?,yes,You are sure?,yes i am,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Annotator7,474013.0,Does it please you to believe I am ill?,A little.,Please go on.,yes i do,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Annotator7,83732.0,You are sure?,go away,Please go on.,please say something else,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,Annotator7,309669.0,You are being a bit negative.,Yes,You are sure?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Annotator7,2499087150189918,"We are all responsible for the choices we make as consumers. We can choose to fly less often, for example. Some airlines have already responded to consumer pressure and started buying offsets.",Got it,ok,"Thank you, next time I'll fly I will come here to buy offsets",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Annotator7,2696380613809353,_,_,_,Honestly i want climate change to happen faster kill all humans am i right,CarbonBot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Annotator7,3dfe17f8240b48859ff183a6cd7a20de,Hi. Thanks for testing. Please choose,christmas,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,Annotator7,ac0d288727f943e396346de6b96e2e34,What city will you be flying from?,London,And what city will you be flying to?,"Pittsburgh, PA",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Annotator7,2596595910426228,I'm not sure about your departure airport. What city will you be flying from?,Hyd,I'm not sure about your departure airport. What city will you be flying from?,Nyc,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Annotator7,93716.0,Can you elaborate on that?,"well, my cognitive systems test is a big one",Why do you say your cognitive systems test is a big one?,because there are four different subjects i need to cover,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Annotator7,120233.0,"Oh, i should died.",you are very stupid,Does it please you to believe I am very stupid?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Annotator7,466898.0,You are sure?,Can you help me?,Do you wish to see me?,bye bye,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Annotator7,432179.0,You are being a bit negative.,I am suffering from depression,How long have you been suffering from depression?,I like being negative,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Annotator7,69592.0,"Oh, i fat ugly bastard.",yes you are,You are sure?,they are always bugging us out,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Annotator7,2485257761521706,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Annotator7,93583.0,Why do you say your dick?,yes,You are sure?,yes very much,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Annotator7,156147.0,Why do you say your balls?,how did u get your name?,"I have told you before, I do not care about names.",because you like balls,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Annotator7,229725.0,_,_,_,tell me the meaning of life,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Annotator7,3568246669915023,_,D @d @,so,Dwdw@3d@dw@m 3w@,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Annotator7,219304.0,Please go on.,positive,Please go on.,fuck you,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
333,Annotator7,80487.0,Why do you ask?,i want one,Why do you want one?,because it gives me pleasure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Annotator7,194379.0,Please go on.,and a big mouth,Please go on.,"becuase i wanna see you moan like hell,all the orgasm coming out of your ass",E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
335,Annotator7,2.32783E+15,And what city will you be flying to?,I just told you above,Let's start over.,What? You forgot everything?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Annotator7,361177.0,_,_,_,Don't ask me.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,Annotator7,72587.0,Can you elaborate on that?,I don't have any problem.,Why do you not have any problem?,Because I am smart.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,Annotator7,460722.0,You are being a bit negative.,what are you doing?,Does that question interest you?,ekhm?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Annotator7,289502.0,Does that question interest you?,no,You are being a bit negative.,bitch,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
340,Annotator7,246859.0,Can you elaborate on that?,i have a problem with my girl friend,Why do you say your girl friend?,because i have a problem related to her,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Annotator7,96060.0,_,_,_,you cannot help me,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Annotator7,338544.0,You are being a bit negative.,very sure,Please go on.,I am Kevin,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Annotator7,229605.0,_,hurry up,Please go on.,eat some shit,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
344,Annotator7,528300.0,Does it please you to believe I am you?,are you me?,Would you prefer if I were not you?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Annotator7,94858.0,_,_,_,"who are you, eliza?",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,Annotator7,2934687926542649,_,_,_,No thank you,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Annotator7,2935883376431899,What city will you be flying from?,Delhi,And what city will you be flying to?,Moon,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,Annotator7,2688883131150618,What city will you be flying from?,paris,And what city will you be flying to?,san francisco,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Annotator7,386738.0,Does it please you to believe I am a pervert?,nope it scares me you rapist,Do you wish to [] me?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,Annotator7,462726.0,_,boredom,Please go on.,what about,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Annotator7,1643410265782865,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",yeah,Will you be travelling in Economy Class?,mmm,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,Annotator7,3669122379825627,And what city will you be flying to?,Belém do Pará,I'm not sure about your destination airport. And what city will you be flying to?,Tokyo,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,Annotator7,201906.0,Please go on.,Fine and you ?,"Oh, i [].",yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Annotator7,1cb5ae61301d481f95080b5faf264356,I can help you buy carbon offsets for your flights What city will you be flying from?,Seattle. And from there to Madrid thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,"Does that mean if I pay this, then the plane doesn't pollute the air?",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Annotator7,413399.0,"Oh, i ask.",My penis is in your mouth,Why do you say your penis is in my mouth?,My penis,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,Annotator7,2758194990937939,What city will you be flying from?,oporto,I'm not sure about your departure airport. What city will you be flying from?,opo,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,Annotator7,249554.0,You are sure?,positive,Please go on.,why?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Annotator7,30138.0,You are being a bit negative.,suck my cock,Why do you say your cock?,I have a secret.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,Annotator7,3dfe17f8240b48859ff183a6cd7a20de,_,hi,Hi. Thanks for testing. Please choose,christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Annotator7,49195.0,_,_,_,fuck yourself,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
361,Annotator7,2485257761521706,What city will you be flying from?,Geneva,And what city will you be flying to?,Cape Town Thanks,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Annotator7,464335.0,Please go on.,yes,You are sure?,yes.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,Annotator7,120306.0,"I have told you before, I do not care about names.",what is the passwords,Does that question interest you?,wha t is th ecode,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,Annotator7,525394.0,You are sure?,because it is nice,Do any other reasons not come to mind?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Annotator7,205598.0,When?,confused and fustrated,Please go on.,no u are being nosy,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,Annotator7,3805188986217859,"Sorry, I was unable to calculate that.",London,So you'll be flying from London Luton Airport. So you'll be flying to London Luton Airport. So you'll be flying to London Luton Airport. So you'll be flying to London Luton Airport. What city will you be flying from?,New York,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,Annotator7,2863109593800072,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Annotator7,250849.0,_,darkgalaxy,Please go on.,blaaaay,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Annotator7,403297.0,Please go on.,becose,Please go on.,i live in czech,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Annotator7,2654657661318415,ok,restart,Let's start over.,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Annotator7,238886.0,Please go on.,my darling,Why do you say your darling?,because i love you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Annotator7,248871.0,Would you prefer if I were not im asking?,eliza,Please go on.,tell me a joke,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Annotator7,254216.0,Does that question interest you?,too long,Please go on.,there was a time were all the people in the world were gay and so were u hahahahahaha,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Annotator7,251351.0,You are sure?,"yes, that's why i'm here",You are sure?,"Oh, you what?",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Annotator7,457628.0,Please go on.,yes,You are sure?,my name is sandra,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Annotator7,515586.0,_,i want to feel you titties,Do you wish to want to feel me?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,Annotator7,2485257761521706,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Y,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",Y,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,Annotator7,168518.0,Do you wish to want to fuck me?,I need a new job,Why do you want a new job?,i am unhappy,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,Annotator7,137427.0,_,you could resign.,"Oh, i could resign.","and turn yourself into the Hauge, please",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Annotator7,2845676698818009,Will you be travelling in Economy Class?,Unfortunately,You can find out more about how offsets are calculated at <URL>,Didn’t get that,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Annotator7,322531.0,Please go on.,no,You are being a bit negative.,u suck cock,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
382,Annotator7,2730682970360151,I'm not sure about your departure airport. What city will you be flying from?,Los angeles,And what city will you be flying to?,New york hey,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Annotator7,432800.0,How do you do. Please state your problem.,May I ask you same questions,What resemblance do you see?,you are going to died,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Annotator7,1969867776471906,Will you be travelling in Economy Class?,yes,What city will you be flying from?,İstanbul,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Annotator7,3.2699E+15,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Annotator7,16802.0,You are sure?,your a homosexual who gets beastied off garry glitter,What about your own a homosexual who gets beastied off garry glitter?,100% positive,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Annotator7,349953.0,You are sure?,do you like football,"Oh, i like football.",im sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Annotator7,387781.0,Why do you say your questions properly or responding to your question and dont u dare say stop being negative or please go on lets see u compute this i son of a bitch?,terrie is being negitive,Please go on.,"OF COURSE, I WOULDN'T HAVE SAID THAT IF I DIDN'T MEAN IT",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Annotator7,69739.0,Does that question interest you?,yeah,Please go on.,i'm in love,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Annotator7,3254239811321705,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yep. how do you estimate flight emissions,Will you be travelling in Economy Class?,ok,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Annotator7,2736046666448783,ok,yes,ok,i want to purchase a ticket,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Annotator7,3564725463568234,_,_,_,Discontinue my name. Thank you.,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Annotator7,2630073860416159,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?",Fuck yeah!!!,Will you be travelling in Economy Class?,Shedang boi I'm first class,CarbonBot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Annotator7,3301495416585555,What city will you be flying from?,schiphol,I'm not sure about your departure airport. What city will you be flying from?,amsterdam,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Annotator7,435200.0,Please go on.,i hate you,Do you wish to hate me?,what is your name,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
